SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO
HERANBA,1593.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
INDRAMEDCO,1593.0,Healthcare Services,Healthcare,Healthcare,0.0
HITECH,1588.0,Industrial Products,Capital Goods,Industrials,0.0
ATULAUTO,1584.0,Agricultural Commercial & Construction Vehicles,Capital Goods,Industrials,0.0
SIGACHI,1582.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
SPIC,1570.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
MVGJL,1563.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
VASCONEQ,1557.0,Construction,Construction,Industrials,0.0
GENESYS,1550.0,IT - Services,Information Technology,Information Technology,0.0
NIITLTD,1549.0,Other Consumer Services,Consumer Services,Consumer Discretionary,0.0
AJMERA,1547.0,Realty,Realty,Consumer Discretionary,0.0
UTTAMSUGAR,1543.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
GEPIL,1538.0,Electrical Equipment,Capital Goods,Industrials,0.0
NAVKARCORP,1535.0,Transport Services,Services,Services,0.0
BAJEL,1529.0,Power,Power,Utilities,0.0
SHAILY,1527.0,Industrial Products,Capital Goods,Industrials,0.0
SPAL,1518.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
ANDHRSUGAR,1515.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
APTECHT,1513.0,Other Consumer Services,Consumer Services,Consumer Discretionary,0.0
KUANTUM,1501.0,Paper Forest & Jute Products,Forest Materials,Commodities,0.0
KITEX,1499.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
KRISHANA,1499.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
CUPID,1494.0,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
DPABHUSHAN,1491.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
SHALPAINTS,1490.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
POKARNA,1488.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
MONARCH,1487.0,Capital Markets,Financial Services,Financial Services,0.0
STOVEKRAFT,1487.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
KABRAEXTRU,1485.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
MONTECARLO,1476.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
OMINFRAL,1467.0,Construction,Construction,Industrials,0.0
SURAJEST,1464.0,Realty,Realty,Consumer Discretionary,0.0
PENINLAND,1463.0,Realty,Realty,Consumer Discretionary,0.0
NACLIND,1462.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
KOKUYOCMLN,1453.0,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
MANGCHEFER,1448.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
BLKASHYAP,1441.0,Construction,Construction,Industrials,0.0
IGPL,1438.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
KICL,1437.0,Finance,Financial Services,Financial Services,0.0
TAJGVK,1435.0,Leisure Services,Consumer Services,Consumer Discretionary,0.0
SYNCOMF,1429.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
EKC,1425.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
JITFINFRA,1424.0,Other Utilities,Utilities,Utilities,0.0
HARDWYN,1422.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
EIHAHOTELS,1411.0,Leisure Services,Consumer Services,Consumer Discretionary,0.0
ONWARDTEC,1406.0,IT - Services,Information Technology,Information Technology,0.0
ALICON,1401.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
KSOLVES,1399.0,IT - Software,Information Technology,Information Technology,0.0
AVTNPL,1392.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
SATIA,1388.0,Paper Forest & Jute Products,Forest Materials,Commodities,0.0
SUMMITSEC,1385.0,Finance,Financial Services,Financial Services,0.0
VALIANTORG,1384.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
SHREDIGCEM,1380.0,Cement & Cement Products,Construction Materials,Commodities,0.0
NELCAST,1379.0,Industrial Products,Capital Goods,Industrials,0.0
AGARIND,1378.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
AWHCL,1377.0,Other Utilities,Utilities,Utilities,0.0
NGLFINE,1367.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
MANALIPETC,1362.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
INDORAMA,1362.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
HEUBACHIND,1360.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
OMAXE,1353.0,Realty,Realty,Consumer Discretionary,0.0
COFFEEDAY,1347.0,Leisure Services,Consumer Services,Consumer Discretionary,0.0
TEXINFRA,1338.0,Diversified,Diversified,Diversified,0.0
DCMSRIND,1337.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
AVADHSUGAR,1337.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
OAL,1333.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
RML,1332.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
REFEX,1330.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
GULPOLY,1321.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
ROTO,1321.0,Industrial Products,Capital Goods,Industrials,0.0
MARINE,1316.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
RAMRAT,1315.0,Electrical Equipment,Capital Goods,Industrials,0.0
SASTASUNDR,1301.0,Healthcare Services,Healthcare,Healthcare,0.0
SATINDLTD,1300.0,Industrial Products,Capital Goods,Industrials,0.0
BLISSGVS,1297.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
